Title,Link,Date,Category
Ensuring National Security and Economic Resilience Through Section 232 Actions on Processed Critical Minerals and Derivative Products,https://www.whitehouse.gov/presidential-actions/2025/04/ensuring-national-security-and-economic-resilience-through-section-232-actions-on-processed-critical-minerals-and-derivative-products/,15-Apr-25,"Presidential Actions, Executive Orders"
Lowering Drug Prices by Once Again Putting Americans First,https://www.whitehouse.gov/presidential-actions/2025/04/lowering-drug-prices-by-once-again-putting-americans-first/,15-Apr-25,"Presidential Actions, Executive Orders"
Restoring Common Sense to Federal Procurement,https://www.whitehouse.gov/presidential-actions/2025/04/restoring-common-sense-to-federal-procurement/,15-Apr-25,"Presidential Actions, Executive Orders"
Preventing Illegal Aliens from Obtaining Social Security Act Benefits,https://www.whitehouse.gov/presidential-actions/2025/04/preventing-illegal-aliens-from-obtaining-social-security-act-benefits/,15-Apr-25,"Presidential Actions, Presidential Memoranda"
Updating Permitting Technology for the 21st Century,https://www.whitehouse.gov/presidential-actions/2025/04/updating-permitting-technology-for-the-21st-century/,15-Apr-25,"Presidential Actions, Presidential Memoranda"
Military Mission for Sealing the Southern Border of the United States and Repelling Invasions,https://www.whitehouse.gov/presidential-actions/2025/04/military-mission-for-sealing-the-southern-border-of-the-united-states-and-repelling-invasions/,11-Apr-25,"Presidential Actions, Presidential Memoranda"
"Clarification of Exceptions Under Executive Order 14257 of April 2, 2025, as Amended",https://www.whitehouse.gov/presidential-actions/2025/04/clarification-of-exceptions-under-executive-order-14257-of-april-2-2025-as-amended/,11-Apr-25,"Presidential Actions, Presidential Memoranda"
Modifying Reciprocal Tariff Rates to Reflect Trading Partner Retaliation and Alignment,https://www.whitehouse.gov/presidential-actions/2025/04/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment/,09-Apr-25,"Presidential Actions, Executive Orders"
Addressing Risks Associated with an Egregious Leaker and Disseminator of Falsehoods,https://www.whitehouse.gov/presidential-actions/2025/04/addressing-risks-associated-with-an-egregious-leaker-and-disseminator-of-falsehoods/,09-Apr-25,"Presidential Actions, Presidential Memoranda"
Addressing Risks from Chris Krebs and Government Censorship,https://www.whitehouse.gov/presidential-actions/2025/04/addressing-risks-from-chris-krebs-and-government-censorship/,09-Apr-25,"Presidential Actions, Presidential Memoranda"
Addressing Risks from Susman Godfrey,https://www.whitehouse.gov/presidential-actions/2025/04/addressing-risks-from-susman-godfrey/,09-Apr-25,"Presidential Actions, Executive Orders"
Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,https://www.whitehouse.gov/presidential-actions/2025/04/modernizing-defense-acquisitions-and-spurring-innovation-in-the-defense-industrial-base/,09-Apr-25,"Presidential Actions, Executive Orders"
Restoring America’s Maritime Dominance,https://www.whitehouse.gov/presidential-actions/2025/04/restoring-americas-maritime-dominance/,09-Apr-25,"Presidential Actions, Executive Orders"
Directing the Repeal of Unlawful Regulations,https://www.whitehouse.gov/presidential-actions/2025/04/directing-the-repeal-of-unlawful-regulations/,09-Apr-25,"Presidential Actions, Presidential Memoranda"
Reducing Anti-Competitive Regulatory Barriers,https://www.whitehouse.gov/presidential-actions/2025/04/reducing-anti-competitive-regulatory-barriers/,09-Apr-25,"Presidential Actions, Executive Orders"
